N C_N-N-1 C_N-N C_N-N+1 Time Samples Energy Energy2 Energy3 PRef Temp Cycles
25 2.026300263365e+03	1.925107308455e+06	7.380839128227e+04 13740.99 1000471 -1.441860390207e+11	2.078732526336e+16	-2.997989266733e+21 918 298 Finished
25 4.336245590131e+03	1.912442814463e+06	8.317893994772e+04 13950.33 999979 -1.405321722395e+11	1.975891242697e+16	-2.779403932217e+21 5357 338 Finished
63 9.176336338060e+03	4.925073932228e+06	1.045777314369e+05 42314.38 2519414 -9.215208251133e+11	3.371242716931e+17	-1.233542381797e+23 918 298 Finished
63 2.031529776330e+04	4.903216455937e+06	1.166162463029e+05 42855.86 2520074 -8.972543465832e+11	3.195309874926e+17	-1.138165246106e+23 5357 338 Finished
126 1.911482350737e+04	9.991574976231e+06	7.153620027403e+04 90338.74 5041113 -3.779390244311e+12	2.833729564458e+18	-2.124889854670e+24 918 298 Finished
126 4.455127680420e+04	9.955838639000e+06	7.762008420754e+04 91312.96 5039005 -3.672592982030e+12	2.677033835352e+18	-1.951586867791e+24 5357 338 Finished
190 1.289400248584e+04	1.517239780315e+07	1.946019441581e+04 138379.07 7602376 -8.930230734544e+12	1.049057437755e+19	-1.232420960653e+25 918 298 Finished
190 3.567092114319e+04	1.514079523328e+07	1.830984559197e+04 141767.46 7597388 -8.640916897371e+12	9.828535099765e+18	-1.118024194069e+25 5357 338 Finished
253 1.258860993978e+04	2.021766339921e+07	1.709991062258e+03 182045.72 10115981 -1.620018409369e+13	2.594526270271e+19	-4.155490784626e+25 918 298 Finished
253 2.606401786190e+04	2.020614115011e+07	2.340832088777e+03 187045.8 10117273 -1.578519207389e+13	2.463002072909e+19	-3.843334282172e+25 5357 338 Finished
